,Metabolite,p_value,AIC,VS,VS_SDev,HS,HS_SDev,VR,VR_SDev,HR,HR_SDev
43,alphahydroxyisovalerate,0.029820834398161,67.99557402889047,-0.40762962242599965,0.26940354344118433,-0.021055674815689412,0.24588584098511335,0.37049362662670865,0.5443954470217193,0.05819167061498406,0.9232866425184796
44,aconitatecisortrans,9.154125326609443e-05,36.349620275473704,-1.156034008513051,0.16284011477748184,-0.4978222110009176,0.1486249143449554,0.5056522900107353,0.2630711298124503,1.1482039295032374,0.22296110510816827
45,isovalerylcarnitineC,0.046190479769088424,58.495543931132545,-0.47873700987292106,0.07657196209670467,-0.9396519812557256,0.06988757852080349,0.8921587477933031,0.13609514269339504,0.5262302433353446,0.1696841266883432
46,valerylcarnitineC,0.005940239340093035,64.19278658398395,-0.913585048095985,0.13594350361599186,0.2795848741647864,0.1240762548484392,-0.035168001570424184,0.302738668067618,0.6691681755016265,0.5935901563755585
47,isovalerylglycine,0.26873035125176575,65.32205394057581,-0.6113548338156017,0.2539430055589499,-0.5230233312921131,0.23177493765141102,0.4969554636152296,0.41362941932162267,0.637422701492485,0.3641143901134237
48,methylbutyrylcarnitineC,0.010322329553887264,69.91159176941534,-0.545224878691145,0.30712420642436494,0.11257183769541117,0.2803136618729269,-0.18117250782519198,0.4781549206869261,0.6138255488209284,0.3519090325168091
49,malonylcarnitine,0.40850067720113925,69.88221081682508,0.5510264708090719,0.18815929146717006,0.42453983776197135,0.17173384221528917,-0.5843870396720582,0.2776558424250403,-0.39117926889898497,0.2773848836001577
50,hydroxymethylvalerate,0.09255638021000112,67.83638190881379,-0.7223844688184776,0.12623871567378228,0.4377539944630762,0.11521865069716578,0.0059441479592115916,0.2518968185242925,0.27868632639619134,0.793300417536179
51,betahydroxyisovaleroylcarnitine,0.00828338056410074,70.848157091763,-0.6853475041117605,0.023588671324349057,0.19974798378902248,0.021529487742522075,-0.2122818131987345,0.03554644231352706,0.6978813335214736,0.02751013432587898
52,tiglylcarnitineC,0.03190154247197993,69.99551298864233,-0.478935764393208,0.2603366634706244,-0.424828926290469,0.23761045834465097,0.3687897683279768,0.4057187490306347,0.5349749223557004,0.2992731308504896
53,deoxycarnitine,0.0011718519109490582,66.95635081802162,-0.8810127140747336,0.0582457429646881,0.3273950228728702,0.053161154859872134,-0.12996111600798188,0.11344666623572613,0.6835788072098467,0.35198915697328725
54,succinylcarnitineCDC,0.26966461571403333,75.2230973498327,0.07633108118971187,0.30049861081797696,0.06975672493191291,0.27426645058945814,-0.18278261910288876,0.4596991571577776,0.0366948129812644,0.33534262234947476
55,hydroxyglutarate,0.002296968574137625,58.941560157729036,-1.0719771480223195,0.11150689836325531,0.0460267730423537,0.10177285394791562,0.11343269846645364,0.23122611567880266,0.9125176765135133,0.4097189745263505
56,methylglutaconate,0.030065191715421415,52.229640322708306,-1.100153100786389,0.1591565279518649,-0.3611076812950882,0.14526288787385136,0.5306202125422158,0.23346255260822554,0.9306405695392641,0.283166115682836
57,hydroxybutyratehydroxyisobutyrate,0.22521715100157505,68.81807138224949,-0.7715281494229567,0.02915858437317604,-0.1582049064395004,0.0266131727480379,0.12829168992897677,0.04279624808031934,0.8014413659334809,0.05015389897433419
58,dihydroxymethylbutyrate,0.01945168029620562,58.546053778163326,-0.951384001932801,0.06089244271490739,-0.18967291902905267,0.05557680977519003,0.6353872792732382,0.2323742678888146,0.5056696416886188,0.8331690186850315
59,isocaproylcarnitine,0.0018480782009484466,65.83151856591672,-0.8928669044303277,0.02506968547658565,0.22957242524374402,0.02288121610393111,-0.17561851794067376,0.05973348148182996,0.8389129971272579,0.12636055079222747
